District Name,Market Name,Commodity,Price Date,tempmax,tempmin,humidity,precip,windspeed,solarradiation,description,soil moisture,soil type,soil ph,N,P,K,WATER REQUIREMENT,Stage Growth,Yield,Day,Month,Year
Kannur,Kannur,Banana - Green,2021-01-11,29.7,25.3,85.0,0.6,8.3,148.9,Cloudy skies throughout the day with a chance of rain throughout the day.,60.7,loamy to humid,5.843163161,118,88,52,11.65,Vegetative stage,7.774358974,11,1,2021
Kannur,Kannur,Banana - Green,2021-01-12,31.4,25.0,82.0,0.2,7.9,99.9,Cloudy skies throughout the day with late afternoon rain.,47.5,loamy to humid,6.376756633,101,87,54,2.75,Vegetative stage,7.264224474,12,1,2021
Kannur,Kannur,Banana - Green,2021-01-13,30.1,25.7,75.8,3.1,10.8,161.9,Partly cloudy throughout the day with rain.,62.9,loamy to humid,5.623615687,95,75,50,11.75,Shooting stage,8.131082842,13,1,2021
Kannur,Kannur,Banana - Green,2021-01-14,32.4,24.6,81.0,1.6,14.8,163.1,Partly cloudy throughout the day with afternoon rain.,65.125,loamy to humid,5.91505509,106,85,53,13.25,Shooting stage,8.694939585,14,1,2021
Kannur,Kannur,Banana - Green,2021-01-15,32.4,24.9,82.7,1.9,11.2,156.8,Partly cloudy throughout the day with rain.,63.15,loamy to humid,6.458714879,86,95,49,12.65,Shooting stage,8.598274209,15,1,2021
Kannur,Kannur,Banana - Green,2021-01-16,33.7,25.1,83.6,7.5,14.8,177.6,Partly cloudy throughout the day with a chance of rain throughout the day.,70.875,loamy to humid,5.565028635,83,79,55,3.75,Shooting stage,8.893756294,16,1,2021
Kannur,Kannur,Banana - Green,2021-01-17,32.9,25.3,83.0,0.9,11.2,217.2,Partly cloudy throughout the day with a chance of rain throughout the day.,78.075,loamy to humid,6.211833161,85,95,47,7.98,Shooting stage,8.526109661,17,1,2021
Kannur,Kannur,Banana - Green,2021-01-18,32.9,24.9,79.4,0.1,11.2,248.2,Clear conditions throughout the day with early morning rain.,84.725,loamy to humid,6.490074429,109,79,45,9.4,Shooting stage,11.44803854,18,1,2021
Kannur,Kannur,Banana - Green,2021-01-19,32.4,24.7,77.0,0.5,12.6,247.4,Partly cloudy throughout the day with early morning rain.,84.375,loamy to humid,5.590236025,100,76,45,8.8,Shooting stage,9.795652174,19,1,2021
Kannur,Kannur,Banana - Green,2021-01-20,32.1,24.1,80.8,0.0,11.5,245.2,Partly cloudy throughout the day.,84.375,loamy to humid,6.225225239,117,86,48,0.25,Shooting stage,8.076658477,20,1,2021
Kannur,Kannur,Banana - Green,2021-01-21,32.7,24.8,81.9,0.0,11.2,222.8,Clear conditions throughout the day.,78.975,loamy to humid,6.190757459,114,94,53,8.98,Shooting stage,7.151612903,21,1,2021
Kannur,Kannur,Banana - Green,2021-01-22,32.9,25.1,82.7,0.0,11.2,232.6,Partly cloudy throughout the day.,81.625,loamy to humid,5.915568968,110,78,50,10.4,Shooting stage,8.294478528,22,1,2021
Kannur,Kannur,Banana - Green,2021-01-23,33.1,25.2,83.1,0.8,11.2,221.3,Partly cloudy throughout the day with rain.,79.1,loamy to humid,6.195152442,94,70,48,9.7,Shooting stage,8.725974026,23,1,2021
Kannur,Kannur,Banana - Green,2021-01-24,32.4,25.2,83.7,0.4,11.2,204.5,Partly cloudy throughout the day with a chance of rain throughout the day.,74.95,loamy to humid,6.156373499,80,71,47,0.98,Shooting stage,8.860409146,24,1,2021
Kannur,Kannur,Banana - Green,2021-01-25,32.1,24.9,79.2,0.0,12.2,257.2,Partly cloudy throughout the day.,87.15,loamy to humid,6.313197204,114,79,51,9.98,Shooting stage,10.77995301,25,1,2021
Kannur,Kannur,Banana - Green,2021-01-26,32.9,23.3,76.6,0.0,12.2,266.6,Partly cloudy throughout the day.,88.85,loamy to humid,6.324270089,88,78,45,11.4,Shooting stage,9.209677419,26,1,2021
Kannur,Kannur,Banana - Green,2021-01-27,32.2,23.1,78.5,0.0,14.8,259.7,Partly cloudy throughout the day.,88.25,loamy to humid,5.707488987,112,73,48,10.8,Shooting stage,6.580926181,27,1,2021
Kannur,Kannur,Banana - Green,2021-01-28,34.4,24.4,75.7,0.0,13.7,261.5,Partly cloudy throughout the day.,87.725,loamy to humid,6.119216009,117,76,47,1.98,Shooting stage,7.774358974,28,1,2021
Kannur,Kannur,Banana - Green,2021-01-29,34.1,23.4,75.9,0.6,13.3,246.0,Partly cloudy throughout the day with rain clearing later.,83.95,loamy to humid,5.571401169,111,87,48,10.9,Shooting stage,7.264224474,29,1,2021
Kannur,Kannur,Banana - Green,2021-01-30,32.9,23.7,78.3,0.0,13.0,243.8,Partly cloudy throughout the day.,83.775,loamy to humid,5.63127166,89,83,47,12.4,Shooting stage,8.131082842,30,1,2021
Kannur,Kannur,Banana - Green,2021-01-31,32.9,24.3,80.0,0.0,14.0,239.2,Clear conditions throughout the day.,83.3,loamy to humid,6.101241579,93,91,47,11.8,Shooting stage,8.694939585,31,1,2021
Kannur,Kannur,Banana - Green,2021-02-01,35.4,24.8,76.1,0.2,14.8,260.2,Clear conditions throughout the day with early morning rain.,87.825,loamy to humid,6.438137279,92,81,52,2.7,Shooting stage,8.598274209,1,2,2021
Kannur,Kannur,Banana - Green,2021-02-02,34.1,24.6,71.5,0.0,40.7,264.3,Clear conditions throughout the day.,94.125,loamy to humid,6.098369122,105,74,45,6.95,Shooting stage,8.893756294,2,2,2021
Kannur,Kannur,Banana - Green,2021-02-03,34.1,22.0,73.4,0.0,31.7,249.8,Partly cloudy throughout the day.,88.725,loamy to humid,5.695267822,102,71,48,8.45,Shooting stage,8.526109661,3,2,2021
Kannur,Kannur,Banana - Green,2021-02-04,33.7,24.7,76.0,0.0,14.8,254.1,Partly cloudy throughout the day.,86.225,loamy to humid,5.618094446,94,91,51,7.8,Shooting stage,11.44803854,4,2,2021
Kannur,Kannur,Banana - Green,2021-02-05,33.2,24.4,80.5,0.1,10.1,231.2,Becoming cloudy in the afternoon with early morning rain.,80.475,loamy to humid,6.435785799,116,71,47,0.1,Shooting stage,9.795652174,5,2,2021
Kannur,Kannur,Banana - Green,2021-02-06,32.9,24.4,79.8,1.0,14.4,240.8,Partly cloudy throughout the day with rain in the morning and afternoon.,84.0,loamy to humid,6.176644228,117,79,49,7.95,Shooting stage,8.076658477,6,2,2021
Kannur,Kannur,Banana - Green,2021-02-07,35.4,24.2,69.8,0.0,13.7,273.3,Clear conditions throughout the day.,89.2,loamy to humid,6.220643671,119,72,55,9.45,Shooting stage,7.151612903,7,2,2021
Kannur,Kannur,Banana - Green,2021-02-08,34.4,23.2,65.3,0.0,15.0,277.5,Clear conditions throughout the day.,89.45,loamy to humid,5.871702211,99,73,53,8.8,Shooting stage,8.294478528,8,2,2021
Kannur,Kannur,Banana - Green,2021-02-09,31.4,22.4,69.2,0.0,13.3,279.7,Partly cloudy throughout the day.,90.55,loamy to humid,6.390741836,91,84,52,0.5,Shooting stage,8.725974026,9,2,2021
Kannur,Kannur,Banana - Green,2021-02-10,33.9,22.7,72.1,0.0,14.4,281.4,Clear conditions throughout the day.,91.975,loamy to humid,6.21084479,80,90,47,8.95,Shooting stage,8.860409146,10,2,2021
Kannur,Kannur,Banana - Green,2021-02-11,28.7,22.8,78.6,0.0,13.3,277.7,Partly cloudy throughout the day.,92.4,loamy to humid,6.012696655,101,70,48,10.45,Shooting stage,10.77995301,11,2,2021
Kannur,Kannur,Banana - Green,2021-02-12,28.9,23.8,79.7,0.0,14.0,276.2,Partly cloudy throughout the day.,92.475,loamy to humid,5.908770059,108,89,53,9.9,Shooting stage,9.209677419,12,2,2021
Kannur,Kannur,Banana - Green,2021-02-13,30.9,24.3,78.8,0.1,35.3,257.2,Clear conditions throughout the day with early morning rain.,92.85,loamy to humid,6.049801781,100,80,52,0.95,Shooting stage,6.580926181,13,2,2021
Kannur,Kannur,Banana - Green,2021-02-14,33.2,24.2,79.3,0.0,13.0,254.7,Clear conditions throughout the day.,86.75,loamy to humid,6.010095853,109,91,53,9.9,Shooting stage,7.774358974,14,2,2021
Kannur,Kannur,Banana - Green,2021-02-15,33.4,24.4,79.5,0.3,11.9,254.9,Partly cloudy throughout the day with rain clearing later.,86.65,loamy to humid,5.738678895,82,78,46,11.4,Shooting stage,7.264224474,15,2,2021
Kannur,Kannur,Banana - Green,2021-02-16,32.9,24.7,80.4,0.1,14.8,232.2,Clear conditions throughout the day with morning rain.,81.875,loamy to humid,5.74055541,106,70,55,10.9,Shooting stage,8.131082842,16,2,2021
Kannur,Kannur,Banana - Green,2021-02-17,33.4,24.3,77.0,0.0,13.7,241.6,Clear conditions throughout the day.,83.075,loamy to humid,5.793260262,90,86,52,1.9,Shooting stage,8.694939585,17,2,2021
Kannur,Kannur,Banana - Green,2021-02-18,34.2,24.6,78.3,0.8,9.4,231.9,Partly cloudy throughout the day with a chance of rain throughout the day.,80.1,loamy to humid,5.50947065,83,95,50,5.65,Shooting stage,8.598274209,18,2,2021
Kannur,Kannur,Banana - Green,2021-02-19,33.1,24.3,76.8,2.1,10.4,237.0,Clearing in the afternoon with a chance of rain throughout the day.,81.575,loamy to humid,5.986442306,119,90,48,7.15,Shooting stage,8.893756294,19,2,2021
Kannur,Kannur,Banana - Green,2021-02-20,30.7,24.6,72.5,0.0,11.9,255.0,Clear conditions throughout the day.,84.85,loamy to humid,5.790768046,107,72,45,6.6,Shooting stage,8.526109661,20,2,2021
Kannur,Kannur,Banana - Green,2021-02-21,32.7,24.3,74.4,0.3,10.8,217.9,Partly cloudy throughout the day with rain.,75.85,loamy to humid,5.915546415,116,81,55,0.1,Shooting stage,11.44803854,21,2,2021
Kannur,Kannur,Banana - Green,2021-02-22,34.1,24.1,75.8,1.3,14.8,248.8,Clearing in the afternoon with rain clearing later.,85.175,loamy to humid,6.242528278,101,75,50,6.6,Shooting stage,9.795652174,22,2,2021
Kannur,Kannur,Banana - Green,2021-02-23,35.1,24.4,75.3,0.3,13.7,244.9,Partly cloudy throughout the day with afternoon rain.,83.55,loamy to humid,6.036079266,93,81,50,8.1,Shooting stage,8.076658477,23,2,2021
Kannur,Kannur,Banana - Green,2021-02-24,34.7,24.7,78.5,0.3,11.9,237.1,Partly cloudy throughout the day with afternoon rain.,81.95,loamy to humid,5.829898502,95,75,45,7.6,Shooting stage,7.151612903,24,2,2021
Kannur,Kannur,Banana - Green,2021-02-25,34.2,25.5,81.1,0.0,11.9,235.7,Partly cloudy throughout the day.,82.175,loamy to humid,6.088064451,107,71,55,0.3,Shooting stage,8.294478528,25,2,2021
Kannur,Kannur,Banana - Green,2021-02-26,34.1,25.9,81.2,0.1,14.8,248.1,Partly cloudy throughout the day with afternoon rain.,86.05,loamy to humid,6.469370954,83,94,47,7.68,Shooting stage,8.725974026,26,2,2021
Kannur,Kannur,Banana - Green,2021-02-27,34.7,25.5,82.4,0.0,11.5,249.2,Partly cloudy throughout the day.,85.775,loamy to humid,5.720726906,102,73,54,8.18,Shooting stage,8.860409146,27,2,2021
Kannur,Kannur,Banana - Green,2021-02-28,34.1,25.5,82.3,0.2,15.8,257.1,Clear conditions throughout the day with afternoon rain.,88.85,loamy to humid,5.80766417,86,79,45,8.6,Shooting stage,10.77995301,28,2,2021
Kannur,Kannur,Banana - Green,2021-03-01,34.2,25.1,81.8,1.0,13.3,248.4,Partly cloudy throughout the day with afternoon rain.,86.125,loamy to humid,5.703381728,117,86,53,0.8,Shooting stage,9.209677419,1,3,2021
Kannur,Kannur,Banana - Green,2021-03-02,33.9,25.7,81.4,0.7,16.9,271.6,Clear conditions throughout the day with rain.,92.65,loamy to humid,6.165001278,111,79,53,8.65,Shooting stage,6.580926181,2,3,2021
Kannur,Kannur,Banana - Green,2021-03-03,34.4,25.5,82.1,0.5,16.9,271.6,Clear conditions throughout the day with rain.,92.775,loamy to humid,6.002481605,95,74,50,10.15,Shooting stage,7.774358974,3,3,2021
Kannur,Kannur,Banana - Green,2021-03-04,34.7,24.9,74.8,0.0,16.6,288.7,Clear conditions throughout the day.,95.025,loamy to humid,6.212369363,91,75,55,9.65,Shooting stage,7.264224474,4,3,2021
Kannur,Kannur,Banana - Green,2021-03-05,34.2,24.9,76.2,0.0,15.5,292.6,Clear conditions throughout the day.,96.075,loamy to humid,5.765308943,93,83,46,0.65,Shooting stage,8.131082842,5,3,2021
Kannur,Kannur,Banana - Green,2021-03-06,34.4,25.4,76.9,0.0,15.5,278.2,Clear conditions throughout the day.,92.65,loamy to humid,5.740764682,92,85,51,6.695,Shooting stage,8.694939585,6,3,2021
Kannur,Kannur,Banana - Green,2021-03-07,34.4,25.3,78.9,0.0,16.2,279.5,Clear conditions throughout the day.,93.65,loamy to humid,5.879119455,104,80,54,8.2,Shooting stage,8.598274209,7,3,2021
Kannur,Kannur,Banana - Green,2021-03-08,35.1,25.4,80.0,0.0,16.6,275.0,Clear conditions throughout the day.,92.9,loamy to humid,6.099478745,103,72,51,7.7,Shooting stage,8.893756294,8,3,2021
Kannur,Kannur,Banana - Green,2021-03-09,34.9,26.2,79.0,0.0,18.4,280.1,Clear conditions throughout the day.,94.375,loamy to humid,5.674403359,92,75,45,0.6,Shooting stage,8.526109661,9,3,2021
Kannur,Kannur,Banana - Green,2021-03-10,35.4,25.9,78.6,0.4,15.5,263.0,Clear conditions throughout the day with rain.,89.375,loamy to humid,5.694243847,93,85,49,7.695,Shooting stage,11.44803854,10,3,2021
Kannur,Kannur,Banana - Green,2021-03-11,29.9,24.1,81.7,1.4,8.6,200.2,Partly cloudy throughout the day with rain clearing later.,72.975,loamy to humid,5.905494703,120,87,52,9.2,Shooting stage,9.795652174,11,3,2021
Kannur,Kannur,Banana - Green,2021-03-12,32.1,25.2,80.1,0.9,12.2,243.9,Partly cloudy throughout the day with a chance of rain throughout the day.,84.275,loamy to humid,6.110844721,108,72,46,8.7,Shooting stage,8.076658477,12,3,2021
Kannur,Kannur,Banana - Green,2021-03-13,34.1,25.5,81.9,1.2,15.1,264.9,Partly cloudy throughout the day with rain in the morning and afternoon.,90.775,loamy to humid,6.020445317,105,88,54,0.8,Shooting stage,7.151612903,13,3,2021
Kannur,Kannur,Banana - Green,2021-03-14,34.7,26.4,80.0,0.0,16.6,276.8,Clear conditions throughout the day.,93.35,loamy to humid,6.435917308,98,79,50,8.7,Shooting stage,8.294478528,14,3,2021
Kannur,Kannur,Banana - Green,2021-03-15,33.1,26.1,79.7,1.5,11.2,254.7,Partly cloudy throughout the day with a chance of rain throughout the day.,86.775,loamy to humid,5.505393833,111,88,55,10.2,Shooting stage,8.725974026,15,3,2021
Kannur,Kannur,Banana - Green,2021-03-16,34.2,26.1,79.0,0.3,11.9,251.9,Partly cloudy throughout the day with rain in the morning and afternoon.,85.775,loamy to humid,5.677719902,97,74,45,9.6,Shooting stage,8.860409146,16,3,2021
Kannur,Kannur,Banana - Green,2021-03-17,34.4,25.9,79.9,0.1,14.0,268.1,Partly cloudy throughout the day with early morning rain.,90.525,loamy to humid,5.719014989,95,82,48,0.7,Shooting stage,10.77995301,17,3,2021
Kannur,Kannur,Banana - Green,2021-03-18,34.9,26.0,81.7,0.7,16.2,256.4,Partly cloudy throughout the day with afternoon rain.,88.75,loamy to humid,6.275572298,89,91,55,9.5,Shooting stage,9.209677419,18,3,2021
Kannur,Kannur,Banana - Green,2021-03-19,34.4,26.8,80.7,1.3,15.8,267.2,Partly cloudy throughout the day with rain.,91.25,loamy to humid,6.275384607,89,85,55,11.0,Shooting stage,6.580926181,19,3,2021
Kannur,Kannur,Banana - Green,2021-03-20,34.9,26.5,82.3,2.8,12.6,258.5,Partly cloudy throughout the day with rain.,89.05,loamy to humid,6.201911642,118,88,51,10.5,Shooting stage,7.774358974,20,3,2021
Kannur,Kannur,Banana - Green,2021-03-21,35.7,25.2,79.7,0.2,11.2,262.5,Partly cloudy throughout the day with morning rain.,88.4,loamy to humid,5.758054257,101,92,45,1.5,Shooting stage,7.264224474,21,3,2021
Kannur,Kannur,Banana - Green,2021-03-22,34.9,26.1,80.4,0.0,18.4,274.8,Partly cloudy throughout the day.,93.4,loamy to humid,6.323933647,99,92,47,5.92,Shooting stage,8.131082842,22,3,2021
Kannur,Kannur,Banana - Green,2021-03-23,35.6,26.6,78.0,0.0,12.2,276.7,Partly cloudy throughout the day.,91.725,loamy to humid,5.901100841,82,77,46,7.42,Shooting stage,8.694939585,23,3,2021
Kannur,Kannur,Banana - Green,2021-03-24,34.7,26.6,80.6,0.8,15.1,274.9,Partly cloudy throughout the day with afternoon rain.,92.85,loamy to humid,5.644486582,90,86,55,6.9,Shooting stage,8.598274209,24,3,2021
Kannur,Kannur,Banana - Green,2021-03-25,33.2,26.9,82.0,1.4,10.4,220.0,Cloudy skies throughout the day with afternoon rain.,78.45,loamy to humid,6.235461772,95,88,52,0.1,Shooting stage,8.893756294,25,3,2021
Kannur,Kannur,Banana - Green,2021-03-26,35.1,26.9,83.0,0.4,16.6,267.8,Partly cloudy throughout the day with afternoon rain.,91.95,loamy to humid,6.28236237,104,73,46,6.92,Shooting stage,8.526109661,26,3,2021
Kannur,Kannur,Banana - Green,2021-03-27,35.2,27.1,80.7,1.0,17.3,282.5,Partly cloudy throughout the day with late afternoon rain.,95.375,loamy to humid,6.356090905,102,73,52,8.42,Shooting stage,11.44803854,27,3,2021
Kannur,Kannur,Banana - Green,2021-03-28,33.7,25.9,81.2,3.8,11.2,230.3,Partly cloudy throughout the day with a chance of rain throughout the day.,81.625,loamy to humid,5.837258235,100,74,52,7.9,Shooting stage,9.795652174,28,3,2021
Kannur,Kannur,Banana - Green,2021-03-29,33.9,25.2,82.4,7.5,9.4,256.0,Partly cloudy throughout the day with rain.,88.825,loamy to humid,5.653437902,94,89,48,0.5,Shooting stage,8.076658477,29,3,2021
Kannur,Kannur,Banana - Green,2021-03-30,35.1,25.2,77.7,3.0,11.9,276.3,Partly cloudy throughout the day with early morning rain.,92.225,loamy to humid,5.727469947,99,70,46,7.92,Shooting stage,7.151612903,30,3,2021
Kannur,Kannur,Banana - Green,2021-03-31,34.1,26.7,83.6,4.1,13.7,211.0,Partly cloudy throughout the day with rain.,78.1,loamy to humid,6.200111068,112,87,48,9.42,Shooting stage,8.294478528,31,3,2021
Kannur,Kannur,Banana - Green,2021-04-01,33.7,27.7,77.3,0.2,15.8,275.7,Partly cloudy throughout the day with early morning rain.,92.25,loamy to humid,5.614471478,117,82,45,8.9,Shooting stage,8.725974026,1,4,2021
Kannur,Kannur,Banana - Green,2021-04-02,33.7,26.1,75.8,0.0,15.1,285.3,Partly cloudy throughout the day.,94.05,loamy to humid,6.257369799,96,86,51,0.8,Shooting stage,8.860409146,2,4,2021
Kannur,Kannur,Banana - Green,2021-04-03,32.2,26.6,74.8,0.2,16.2,239.1,Partly cloudy throughout the day with morning rain.,82.575,loamy to humid,6.037430836,113,85,45,8.92,Shooting stage,10.77995301,3,4,2021
Kannur,Kannur,Banana - Green,2021-04-04,33.9,26.4,73.5,0.0,16.6,254.4,Partly cloudy throughout the day.,86.125,loamy to humid,5.760457558,105,93,46,10.42,Shooting stage,9.209677419,4,4,2021
Kannur,Kannur,Banana - Green,2021-04-05,34.1,26.5,77.9,0.0,18.0,275.8,Clear conditions throughout the day.,92.925,loamy to humid,6.158164422,85,89,51,9.9,Shooting stage,6.580926181,5,4,2021
Kannur,Kannur,Banana - Green,2021-04-06,34.1,27.6,82.4,0.1,11.2,259.8,Partly cloudy throughout the day with afternoon rain.,88.375,loamy to humid,6.387431383,108,94,47,0.92,Shooting stage,7.774358974,6,4,2021
Kannur,Kannur,Banana - Green,2021-04-07,34.4,26.9,81.9,1.5,13.0,270.8,Becoming cloudy in the afternoon with rain.,91.8,loamy to humid,5.891413895,92,81,52,4.89,Shooting stage,7.264224474,7,4,2021
Kannur,Kannur,Banana - Green,2021-04-08,33.4,25.7,81.4,3.0,10.8,219.7,Partly cloudy throughout the day with rain.,78.725,loamy to humid,5.725418961,110,71,54,6.39,Shooting stage,8.131082842,8,4,2021
Kannur,Kannur,Banana - Green,2021-04-09,33.4,26.7,81.7,1.5,10.1,254.1,Partly cloudy throughout the day with a chance of rain throughout the day.,86.85,loamy to humid,6.281069505,82,75,55,5.8,Shooting stage,8.694939585,9,4,2021
Kannur,Kannur,Banana - Green,2021-04-10,33.4,26.5,81.0,1.0,10.1,257.2,Partly cloudy throughout the day with rain.,87.325,loamy to humid,5.507641778,117,81,53,0.1,Development and harvesting stage,8.598274209,10,4,2021
Kannur,Kannur,Banana - Green,2021-04-11,34.4,26.0,81.8,3.4,10.8,249.4,Partly cloudy throughout the day with a chance of rain throughout the day.,86.35,loamy to humid,6.149934034,91,94,46,5.6,Development and harvesting stage,8.893756294,11,4,2021
Kannur,Kannur,Banana - Green,2021-04-12,32.9,25.5,82.9,5.9,11.5,240.1,Partly cloudy throughout the day with rain.,85.1,loamy to humid,5.849076099,105,95,50,7.1,Development and harvesting stage,8.526109661,12,4,2021
Kannur,Kannur,Banana - Green,2021-04-13,33.4,24.5,81.2,4.5,9.4,226.0,Partly cloudy throughout the day with a chance of rain throughout the day.,80.275,loamy to humid,6.276800323,108,92,53,6.6,Development and harvesting stage,11.44803854,13,4,2021
Kannur,Kannur,Banana - Green,2021-04-14,33.7,25.8,80.6,3.0,11.2,225.0,Partly cloudy throughout the day with a chance of rain throughout the day.,79.95,loamy to humid,5.926824754,86,76,54,0.2,Development and harvesting stage,9.795652174,14,4,2021
Kannur,Kannur,Banana - Green,2021-04-15,32.4,26.0,78.3,2.1,9.4,223.7,Partly cloudy throughout the day with a chance of rain throughout the day.,78.375,loamy to humid,5.519088423,80,77,49,6.5,Development and harvesting stage,8.076658477,15,4,2021
Kannur,Kannur,Banana - Green,2021-04-16,34.7,26.6,78.1,1.8,11.2,253.0,Partly cloudy throughout the day with rain.,86.025,loamy to humid,6.079178788,93,94,53,8.1,Development and harvesting stage,7.151612903,16,4,2021
Kannur,Kannur,Banana - Green,2021-04-17,33.9,24.7,80.5,1.1,8.3,226.2,Partly cloudy throughout the day with rain.,79.025,loamy to humid,6.13465588,90,92,55,7.5,Development and harvesting stage,8.294478528,17,4,2021
Kannur,Kannur,Banana - Green,2021-04-18,34.2,26.1,82.6,15.0,7.6,211.1,Partly cloudy throughout the day with a chance of rain throughout the day.,79.075,loamy to humid,5.808497604,108,89,53,0.5,Development and harvesting stage,8.725974026,18,4,2021
Kannur,Kannur,Banana - Green,2021-04-19,33.9,25.7,80.8,2.8,9.4,235.0,Partly cloudy throughout the day with rain.,82.0,loamy to humid,5.891458107,108,88,55,7.5,Development and harvesting stage,8.860409146,19,4,2021
Kannur,Kannur,Banana - Green,2021-04-20,30.1,25.4,84.2,10.1,9.0,230.2,Partly cloudy throughout the day with a chance of rain throughout the day.,83.375,loamy to humid,5.816622479,105,77,52,9.0,Development and harvesting stage,10.77995301,20,4,2021
Kannur,Kannur,Banana - Green,2021-04-21,34.2,26.1,82.4,5.9,18.4,213.0,Partly cloudy throughout the day with a chance of rain throughout the day.,79.925,loamy to humid,5.843163161,118,88,52,8.5,Development and harvesting stage,9.209677419,21,4,2021
Kannur,Kannur,Banana - Green,2021-04-22,32.7,24.7,82.9,5.4,9.4,237.9,Partly cloudy throughout the day with rain.,83.9,loamy to humid,6.376756633,101,87,54,0.8,Development and harvesting stage,6.580926181,22,4,2021
Kannur,Kannur,Banana - Green,2021-04-23,33.4,25.2,80.8,11.0,8.3,254.6,Partly cloudy throughout the day with rain.,88.675,loamy to humid,5.623615687,95,75,50,3.65,Development and harvesting stage,7.774358974,23,4,2021
Kannur,Kannur,Banana - Green,2021-04-24,34.2,26.0,79.7,2.6,9.4,256.7,Partly cloudy throughout the day with a chance of rain throughout the day.,87.1,loamy to humid,5.91505509,106,85,53,5.15,Development and harvesting stage,7.264224474,24,4,2021
Kannur,Kannur,Banana - Green,2021-04-25,33.1,24.7,84.0,7.2,9.4,213.0,Partly cloudy throughout the day with a chance of rain throughout the day.,78.4,loamy to humid,6.458714879,86,95,49,4.65,Development and harvesting stage,8.131082842,25,4,2021
Kannur,Kannur,Banana - Green,2021-04-26,33.9,26.1,81.4,1.4,7.6,256.8,Partly cloudy throughout the day with rain.,86.8,loamy to humid,5.565028635,83,79,55,0.1,Development and harvesting stage,8.694939585,26,4,2021
Kannur,Kannur,Banana - Green,2021-04-27,32.2,26.5,82.9,9.5,7.6,207.4,Partly cloudy throughout the day with a chance of rain throughout the day.,76.85,loamy to humid,6.211833161,85,95,47,4.65,Development and harvesting stage,8.598274209,27,4,2021
Kannur,Kannur,Banana - Green,2021-04-28,34.2,26.1,82.9,4.0,11.2,241.6,Partly cloudy throughout the day with a chance of rain throughout the day.,84.925,loamy to humid,6.490074429,109,79,45,6.15,Development and harvesting stage,8.893756294,28,4,2021
Kannur,Kannur,Banana - Green,2021-04-29,34.4,26.3,81.7,5.3,9.4,229.6,Partly cloudy throughout the day with a chance of rain throughout the day.,81.5,loamy to humid,5.590236025,100,76,45,5.65,Development and harvesting stage,8.526109661,29,4,2021
Kannur,Kannur,Banana - Green,2021-04-30,33.4,25.3,81.4,8.8,9.4,251.4,Partly cloudy throughout the day with rain.,87.75,loamy to humid,6.225225239,117,86,48,0.2,Development and harvesting stage,11.44803854,30,4,2021
